商品コード,法人名,商品名,型番,全国平均貸与価格（円）,貸与価格の上限（円）
00020-000015,株式会社セリオ,遊歩用　バスケットホルダーセット,YH-002,993,1060
00020-000016,株式会社セリオ,遊歩用　ステッキホルダーセット,YH-003,991,1060
00020-000017,株式会社セリオ,遊歩用　バックミラー,YH-004,542,620
00020-000034,株式会社セリオ,遊歩パートナー,SBT40,22669,24170
00020-000035,株式会社セリオ,遊歩フレンド,SBT400,19093,22950
00020-000036,株式会社セリオ,遊歩スキップ,SH01,20256,21560
00020-000037,株式会社セリオ,大型フロントバスケット,,1041,1140
00020-000038,株式会社セリオ,バックミラー,410411,673,940
00020-000039,株式会社セリオ,四点杖ホルダー,410324,1040,1150
00020-000040,株式会社セリオ,酸素ボンベキャリーラック,410325,1584,1820
00020-000041,株式会社セリオ,リヤバスケット,,1020,1130
00020-000044,株式会社セリオ,遊歩スマイル,SBT41,23688,24790
00020-000045,株式会社セリオ,遊歩スキップneo,SH02,20278,20950
00020-000048,株式会社セリオ,遊歩フジ,K504,22938,23860
00020-000049,株式会社セリオ,ステッキホルダー　（遊歩フジ用）,,998,1030
00020-000050,株式会社セリオ,大型フロントバスケット（遊歩フジ用）,,1006,1040
00020-000051,株式会社セリオ,多点杖ホルダー（遊歩用）,,1030,1110
00021-000008,竹中エンジニアリング株式会社,ワイヤレス徘徊お知らせお待ちくん設置型受信機セット,HS-W,8432,9600
00021-000024,竹中エンジニアリング株式会社,ワイヤレス徘徊お知らせお待ちくん設置型受信機セット,HS-W68,7691,9410
00021-000044,竹中エンジニアリング株式会社,マットセンサー,M-68,4910,5400
00021-000046,竹中エンジニアリング株式会社,マットセンサー,M-4512,6000,6000
00021-000077,竹中エンジニアリング株式会社,卓上型受信機,ＨＣ-350,3013,3120
00021-000086,竹中エンジニアリング株式会社,マットセンサ送信機,ＴＸ-Ｍ48,4855,5410
00021-000095,竹中エンジニアリング株式会社,携帯型受信機,RXF-60K,3519,4410
00021-000099,竹中エンジニアリング株式会社,ワイヤレス徘徊お知らせお待ちくん（携帯型受信機セット）,HW-M48（KE）,8029,8650
00021-000120,竹中エンジニアリング株式会社,ドア・窓センサーセット開見（あけみ）ちゃん（携帯型受信機）,HCS-115(KE),5156,5360
00025-000012,ナブテスコ株式会社,介助用〈電動補助装置付き〉車いすアシストホイール,NAW-16C-DT-HP,19480,22120
00025-000015,ナブテスコ株式会社,介助用〈電動補助装置付き〉車いす　アシストホイール,NAW-22C-SD-HP,19379,21510
00025-000022,ナブテスコ株式会社,抑速ブレーキ付歩行車　CONPAL,NCR-8A-MA,3651,4010
00025-000023,ナブテスコ株式会社,介助用電動アシスト車いす「アシストホイールライト」,NAW-16F-SD-LT,13448,15300
00025-000024,ナブテスコ株式会社,抑速ブレーキ付前腕支持型歩行車　CONPAL REHAMO（コンパル　リハモ）,NCR-8A-TA,4554,5050
00025-000025,ナブテスコ株式会社,前腕支持型歩行車　REHAMO（リハモ）,NR-8A-TA-**（RC：01 MB：02 LP：03）,3825,4140
00030-000030,株式会社幸和製作所,らくらく４点杖,EA4-101,1049,1250
00030-000031,株式会社幸和製作所,テイコブパセオ,HO001,3083,3420
00030-000069,株式会社幸和製作所,テイコブHO03,HO03,2681,3310
00030-000072,株式会社幸和製作所,テイコブHO02,HO02,3097,3320
00030-000073,株式会社幸和製作所,エルメリッタFB,HO03FB,2905,3100
00030-000090,株式会社幸和製作所,テイコブワゴン,PS-188,3379,3630
00030-000093,株式会社幸和製作所,テイコブファニー,STU01,2456,2810
00030-000097,株式会社幸和製作所,テイコブアルミ製4点杖,EA4-102,989,1100
00030-000099,株式会社幸和製作所,テイコブリトル,HS05,2899,3270
00030-000100,株式会社幸和製作所,テイコブポルタ,STU02,1950,2530
00030-000142,株式会社幸和製作所,テイコブ移乗用介助ベルト,AB31-GR,999,1130
00030-000143,株式会社幸和製作所,テイコブリトル　ハイ,HS05H,2941,3270
00030-000144,株式会社幸和製作所,テイコブリトルR,HS05R,3943,4310
00030-000151,株式会社幸和製作所,コンパクトサイドケイン,HKS01,1326,1580
00030-000157,株式会社幸和製作所,テイコブポルタ,STU02,2385,2950
00030-000158,株式会社幸和製作所,テイコブリトルRF,WAW02,4816,5360
00030-000159,株式会社幸和製作所,テイコブリトルF,WAW03,4072,4510
00030-000163,株式会社幸和製作所,テイコブリトルスリム,WAW04,3014,3290
00030-000165,株式会社幸和製作所,テイコブリトルボンベ,WAW06,4104,4630
00030-000166,株式会社幸和製作所,テイコブリトルホーム,WAW05,3337,3660
00030-000168,株式会社幸和製作所,かるたっち（手置台付き）,HUH02,2407,2810
00030-000171,株式会社幸和製作所,テイコブリトルワゴン,WAW07,3349,3610
00030-000172,株式会社幸和製作所,リトルキーパスS,WAW14,7740,8420
00030-000173,株式会社幸和製作所,テイコブリトルハイⅡ,WAW15-BK/WAW15-RE,2878,3250
00030-000174,株式会社幸和製作所,テイコブリトルボンベ F,WAW17-BK,5042,5720
00030-000175,株式会社幸和製作所,ミケーレ,WAG01,3193,3410
00030-000176,株式会社幸和製作所,ファビオ,CAG01,1003,1050
00030-000187,株式会社幸和製作所,テイコブリトルホームF,WAW18-BR,4041,4430
